StorAll	Snow	Intercp	Surface	Soil	SoilL1	SoilL2	SoilL3	RZW	GW	ET	EvapS	EvapI	EvapT	Leakage	SrfOut	GWOut	AllOut	SrftoCh	GWtoCh	Rchrge
35.8619	4.86801	-nan	28.1477	36.3921	6.37453	11.513	42.1801	21.5493	40.9176	9.80591	5.56216	-nan	14.12	-nan	47.6269	47.532	9.80693	19.174	47.1612	0
36.8959	5.90265	-nan	30.352	37.4094	7.33864	12.505	43.1438	22.6104	41.8924	10.9729	6.56095	-nan	15.2152	-nan	48.6319	48.5361	10.9739	21.5493	48.1645	0
37.6178	6.5707	-nan	15.5198	38.1621	7.74835	13.2945	44.0139	23.1825	42.7743	8.60856	7.12734	1	16.1984	-nan	49.5473	49.4491	8.60984	12.2686	49.0865	0.000787628
38.6194	7.58223	1	25.6539	39.1568	8.68101	14.2938	44.9812	24.1941	43.7528	9.37183	8.18224	1	16.6564	-nan	50.5524	50.4533	9.3732	20.3349	50.0871	0
39.6553	8.60609	2	36.7935	40.1831	9.66264	15.3006	45.9524	25.2688	44.7341	13.1415	8.96905	1.99466	17.7666	-nan	51.5575	51.4575	13.1426	28.1446	51.0903	0
40.6891	9.62972	3	39.2734	41.2081	10.6448	16.309	46.9242	26.3416	45.7156	14.3648	9.98778	2.98121	18.9043	-nan	52.5626	52.4617	14.3659	30.635	52.0934	0
40.7654	7.77123	-nan	7.01177	41.5694	9.83876	16.4579	47.5876	26.1331	46.4591	10.4799	8.90961	1.00277	19.9634	-nan	15.9826	53.0534	10.4813	5.56887	52.7419	0.000959786
41.1952	7.58508	-nan	6.21092	42.1688	9.81127	16.8057	48.3203	26.4318	47.2658	10.1539	8.77059	1	19.1213	-nan	6.97439	53.75	10.1543	5.20893	53.4606	0.00441001
41.894	8.04767	-nan	8.52734	42.9486	10.2458	17.4244	49.1423	27.0762	48.1346	10.3818	9.14133	1	19.0978	-nan	9.2746	54.5351	10.383	7.80079	54.2845	0.001497
40.4673	5.26754	-nan	1.76551	42.8039	9.02406	16.2382	49.4509	26.0675	48.6609	9.82981	7.11473	1	19.5605	-nan	2.14948	54.5688	8.9659	0.877834	53.9902	0.353945
40.8576	5.70052	-nan	3.03979	43.4642	9.47272	16.7062	50.1193	26.6334	49.4189	8.51676	7.17333	1	17.4245	-nan	3.68397	55.5705	8.30024	2.56164	53.7486	0.0606913
41.1077	6.01631	-nan	2.58039	44.0911	9.83401	17.1718	50.8403	27.0814	50.2107	8.76792	7.40285	1	17.7147	-nan	3.32678	56.5725	8.15077	1.75369	54.0646	0.221221
41.4925	6.46377	-nan	2.81425	44.7843	10.3272	17.7703	51.5833	27.6666	51.0118	8.86658	7.73037	1	17.8651	-nan	3.54772	57.5742	7.9136	2.07886	54.3052	0.233892
41.3391	6.49713	-nan	1.84918	45.3236	10.6078	18.1362	52.2495	27.9995	51.7457	8.97034	7.90425	1	18.1898	-nan	2.34312	58.5755	5.62294	0.948503	54.5981	0.491593
42.1951	7.35582	-nan	3.63249	46.2013	11.434	19.0459	53.0777	28.9224	52.6038	9.0489	8.434	1	18.1098	-nan	3.70076	59.5768	7.07003	5.57433	54.4331	0.00951915
42.8062	7.96312	-nan	3.66651	47.0536	12.0554	20.0034	53.9831	29.6934	53.5262	9.55866	9.17853	1	18.8199	-nan	4.44182	60.5779	7.73397	3.04064	55.1478	0.126996
43.8536	8.98854	-nan	4.93427	48.0361	13.0636	20.9934	54.8946	30.7559	54.4507	13.5035	9.82193	-nan	19.3356	-nan	5.46239	61.5771	10.7039	7.70629	55.8735	0
44.8946	10.006	-nan	6.34451	49.0373	14.0531	22.0519	55.845	31.8157	55.4105	14.4127	10.9016	-nan	20.4991	-nan	6.67352	62.5764	12.502	8.73253	56.8324	0
45.9217	11.0225	-nan	8.5305	50.0306	15.0341	23.116	56.7997	32.8563	56.3738	16.5599	11.8748	-nan	21.623	-nan	8.48459	63.576	14.6804	12.6308	57.8196	0
46.8674	11.9312	-nan	10.8569	51.0113	15.9564	24.1805	57.7544	33.8651	57.3377	12.7984	13.1306	1	22.7161	-nan	10.6825	64.5771	12.4799	14.1878	58.8101	0
47.1478	11.8272	-nan	6.23817	51.8433	16.3847	25.1923	58.7021	34.5294	58.2945	13.0521	13.398	1	23.7122	-nan	8.33383	65.5782	11.635	4.9767	59.7832	0.0486161
47.5201	11.8885	-nan	4.91348	52.735	17.0693	26.1477	59.6313	35.3537	59.2362	13.2803	13.8993	1	23.8055	-nan	6.23313	66.5791	9.64572	3.93432	60.7062	0.0417717
48.5804	12.9305	-nan	6.39585	53.7328	18.1031	27.1784	60.5791	36.4155	60.1902	17.6823	14.7425	-nan	24.2792	-nan	6.97944	67.5783	12.6783	11.3168	61.6773	0.0157479
49.6287	13.9702	-nan	8.58275	54.7309	19.1134	28.2419	61.5394	37.465	61.1548	18.9973	15.8884	-nan	25.4891	-nan	8.49231	68.5777	14.7023	13.3224	62.6776	0.0506075
50.6842	15.004	-nan	10.4892	55.7532	20.1705	29.306	62.5017	38.5648	62.1208	19.1754	17.2208	-nan	26.7413	-nan	10.0353	69.577	16.953	7.62183	63.6778	0.046841
51.7174	16.0373	-nan	13.457	56.7524	21.1851	30.3818	63.4707	39.6101	63.0922	21.365	18.1992	-nan	28.0346	-nan	12.4266	70.5764	18.9322	17.1034	64.6782	0.0154673
52.754	17.0619	-nan	16.0656	57.7687	22.2488	31.4518	64.4373	40.6965	64.0622	21.959	19.54	-nan	29.3265	-nan	15.0014	71.5759	20.664	15.5002	65.6786	0.0540963
